id,description,amount,category,date,description_cleaned,date_normalized
1,Hospital bill,371.79,Health,2025-12-26,hospital bill,2025-12-26
2,meds...,281.12,Health,07/01/2026,meds,2026-01-07
3,amazon.com*123,195.49,Shopping,12-26-2025,amazoncom123,2025-12-26
4,gym membership,121.33,Health,07/12/2025,gym membership,2025-12-07
5,Walmrt grocceries,499.06,Shopping,"Dec 28, 2025",walmart grocery,2025-12-28
6,bill for power,485.11,Utilities,2025-12-14,bill for power,2025-12-14
7,petrol refill,206.43,Transport,03/12/2025,petrol refill,2025-12-03
8,Petrol  refill,212.47,Transport,"Dec 01, 2025",petrol refill,2025-12-01
9,Dinner at Palace,57.99,Food,"Dec 21, 2025",dinner at palace,2025-12-21
10,Amazon.com*123,162.9,Shopping,2025-12-18,amazoncom123,2025-12-18
11,Doctor visit,38.42,Health,01-11-2026,doctor visit,2026-01-11
12,uberrr,251.99,Transport,2025-12-28,uberrr,2025-12-28
13,Mobile recharge,164.16,Utilities,12-17-2025,mobile recharge,2025-12-17
14,Mobile  recharge,220.98,Utilities,12-19-2025,mobile recharge,2025-12-19
15,Pfizer meds,326.35,Health,10/01/2026,pfizer meds,2026-01-10
16,Mobile recharge,192.62,Utilities,12-31-2025,mobile recharge,2025-12-31
17,pfizer meds,400.51,Health,2025-12-01,pfizer meds,2025-12-01
18,Amzon prime sub,416.31,Shopping,2026-01-08,amazon prime sub,2026-01-08
19,Bus ticket,127.41,Transport,2025-12-20,bus ticket,2025-12-20
20,Amazon.com*123,203.53,Shopping,21/12/2025,amazoncom123,2025-12-21
21,Amazon.com*123,158.11,Shopping,"Dec 30, 2025",amazoncom123,2025-12-30
22,WAL-MART #456,389.96,Shopping,01-08-2026,walmart 456,2026-01-08
23,Lunch at MCD,425.02,Food,"Jan 07, 2026",lunch at mcd,2026-01-07
24,Subway sandwich,429.63,Food,10/01/2026,subway sandwich,2026-01-10
25,Dinner at Palace,424.63,Food,"Dec 29, 2025",dinner at palace,2025-12-29
26,bill for power,316.96,Utilities,01-10-2026,bill for power,2026-01-10
27,doctor visit,453.6,Health,"Jan 11, 2026",doctor visit,2026-01-11
28,Hospital bill,121.6,Health,12-15-2025,hospital bill,2025-12-15
29,Gas station,271.98,Transport,"Dec 31, 2025",gas station,2025-12-31
30,movie night,253.0,Entertainment,12/12/2025,movie night,2025-12-12
31,Petrol refill,167.81,Transport,21/12/2025,petrol refill,2025-12-21
32,Gym membership,88.35,Health,12-06-2025,gym membership,2025-12-06
33,Train pass,487.52,Transport,2026-01-12,train pass,2026-01-12
34,NETFLIX.COM,260.58,Entertainment,24/12/2025,netflixcom,2025-12-24
35,Internet Comcast,267.74,Utilities,"Dec 08, 2025",internet comcast,2025-12-08
36,steam  games,324.08,Entertainment,12-12-2025,steam games,2025-12-12
37,Cinema tickets,351.6,Entertainment,2025-12-10,cinema tickets,2025-12-10
38,uberrr,281.39,Transport,2025-12-19,uberrr,2025-12-19
39,amazon.com*123,386.04,Shopping,16/12/2025,amazoncom123,2025-12-16
40,steam  games,451.35,Entertainment,08/12/2025,steam games,2025-12-08
41,Spotify,37.66,Entertainment,24/12/2025,spotify,2025-12-24
